Report_ID,Date,Time,Source,Threat_Type,Location,Severity,Indicator,Details,Status,Analyst,Priority
INTSUM-2028-047,2028-03-14,0630,HUMINT,Cyber,Camp Pendleton,Medium,Suspicious Network Activity,"Unusual data transfers detected on guest network during weekend hours",Active,Cpl Martinez,2
INTSUM-2028-048,2028-03-15,1145,SIGINT,Physical,Main Gate,Low,Vehicle Surveillance,"Civilian vehicle observed multiple times near main gate - license plate documented",Closed,LCpl Johnson,3
INTSUM-2028-049,2028-03-15,1500,OSINT,Cyber,Base Housing,High,Social Media Intel,"Personnel posting training schedules and locations on social media platforms",Active,SSgt Davis,1
INTSUM-2028-050,2028-03-16,0800,HUMINT,Physical,Training Area 3,Medium,Unauthorized Personnel,"Unknown individuals spotted near training area perimeter during live fire exercise",Investigating,Cpl Martinez,2
INTSUM-2028-051,2028-03-17,1030,TECHINT,Cyber,Communications Center,High,Malware Detection,"Suspicious email attachments containing potential malware sent to multiple personnel",Active,SSgt Davis,1
INTSUM-2028-052,2028-03-18,1400,OSINT,Physical,Off-Base Housing,Low,Surveillance Activity,"Reports of unknown vehicles in military housing neighborhoods",Monitoring,LCpl Johnson,3
INTSUM-2028-053,2028-03-19,0915,SIGINT,Cyber,IT Infrastructure,Medium,Network Intrusion Attempt,"Multiple failed login attempts on NIPR systems from external IP addresses",Active,Cpl Martinez,2
INTSUM-2028-054,2028-03-20,1130,HUMINT,Physical,PX Area,Low,Photography Activity,"Individuals taking photographs of base facilities and personnel movements",Closed,LCpl Johnson,3
INTSUM-2028-055,2028-03-20,1600,OSINT,Cyber,Social Media,High,Information Gathering,"Foreign social media accounts attempting to friend multiple base personnel",Active,SSgt Davis,1
INTSUM-2028-056,2028-03-21,0745,TECHINT,Physical,Motor Pool,Medium,Equipment Interest,"Questions about military vehicle capabilities from civilian contractors",Investigating,Cpl Martinez,2
INTSUM-2028-057,2028-03-22,1200,SIGINT,Cyber,Base Network,High,Data Exfiltration,"Large file transfers detected to external servers during off-duty hours",Active,SSgt Davis,1
INTSUM-2028-058,2028-03-23,0930,HUMINT,Physical,Commissary,Low,Personnel Questioning,"Civilians asking detailed questions about base personnel and schedules",Monitoring,LCpl Johnson,3
